Date : 2020-05-12 12:51:32
Directory : /Users/marcdertiger/Projects/DistanceNB
Total : 112 files,  3780 codes, 377 comments, 713 blanks, all 4870 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JavaScript       |         77 |      2,752 |        145 |        443 |      3,340 |
| JSON             |          8 |        269 |         37 |         32 |        338 |
| Java             |          5 |        186 |         29 |         41 |        256 |
| Groovy           |          3 |        137 |        119 |         32 |        288 |
| Objective-C      |          4 |        119 |          7 |         37 |        163 |
| Markdown         |          1 |         95 |          0 |         58 |        153 |
| XML              |          5 |         80 |          2 |         12 |         94 |
| Batch            |          1 |         76 |          0 |         25 |        101 |
| TypeScript React |          2 |         27 |         13 |         12 |         52 |
| YAML             |          1 |         22 |          0 |          5 |         27 |
| Properties       |          3 |          9 |         19 |          9 |         37 |
| C++              |          2 |          8 |          6 |          7 |         21 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                    |        112 |      3,780 |        377 |        713 |      4,870 |
| App                                                                                                                  |         73 |      2,836 |        136 |        457 |      3,429 |
| App/Api                                                                                                              |          3 |         68 |          1 |         25 |         94 |
| App/Api/Mappers                                                                                                      |          2 |         20 |          0 |         10 |         30 |
| App/Components                                                                                                       |         16 |        536 |         22 |         82 |        640 |
| App/Components/Styles                                                                                                |          8 |        169 |          4 |         20 |        193 |
| App/Containers                                                                                                       |         34 |      1,357 |         52 |        233 |      1,642 |
| App/Containers/App                                                                                                   |         19 |        796 |         34 |        140 |        970 |
| App/Containers/App/Modals                                                                                            |          2 |         60 |          2 |          8 |         70 |
| App/Containers/App/Styles                                                                                            |          8 |        173 |          4 |         25 |        202 |
| App/Containers/Onboarding                                                                                            |          9 |        395 |         10 |         60 |        465 |
| App/Containers/Onboarding/Styles                                                                                     |          3 |         94 |          0 |          9 |        103 |
| App/Containers/Setup                                                                                                 |          4 |        125 |          8 |         29 |        162 |
| App/Containers/Setup/Styles                                                                                          |          1 |         23 |          0 |          3 |         26 |
| App/Containers/Styles                                                                                                |          2 |         41 |          0 |          4 |         45 |
| App/Env                                                                                                              |          2 |         20 |          4 |          4 |         28 |
| App/I18n                                                                                                             |          3 |        156 |         10 |         30 |        196 |
| App/I18n/Languages                                                                                                   |          2 |        120 |          0 |         22 |        142 |
| App/Model                                                                                                            |          2 |         13 |          0 |          2 |         15 |
| App/Navigation                                                                                                       |          1 |        132 |          1 |         17 |        150 |
| App/Redux                                                                                                            |          4 |        219 |         21 |         32 |        272 |
| App/Redux/Actions                                                                                                    |          1 |         93 |         21 |         18 |        132 |
| App/Redux/Reducers                                                                                                   |          2 |        106 |          0 |          7 |        113 |
| App/Themes                                                                                                           |          6 |        265 |         19 |         20 |        304 |
| App/Utils                                                                                                            |          1 |         33 |          3 |          4 |         40 |
| __tests__                                                                                                            |          1 |          7 |          4 |          4 |         15 |
| android                                                                                                              |         15 |        445 |        169 |        117 |        731 |
| android/app                                                                                                          |         10 |        317 |        145 |         78 |        540 |
| android/app/src                                                                                                      |          9 |        224 |         31 |         52 |        307 |
| android/app/src/debug                                                                                                |          2 |         65 |          8 |          9 |         82 |
| android/app/src/debug/java                                                                                           |          1 |         59 |          8 |          6 |         73 |
| android/app/src/debug/java/com                                                                                       |          1 |         59 |          8 |          6 |         73 |
| android/app/src/debug/java/com/distancenb                                                                            |          1 |         59 |          8 |          6 |         73 |
| android/app/src/main                                                                                                 |          7 |        159 |         23 |         43 |        225 |
| android/app/src/main/java                                                                                            |          4 |        127 |         21 |         35 |        183 |
| android/app/src/main/java/com                                                                                        |          4 |        127 |         21 |         35 |        183 |
